index,filename,doctor_id,doctor_name,prompt,backend,seed
0,doctor_001.png,,,"realistic photo, 8k photo, mid 30s, female, Latino, tied back hair, wearing a white lab coat with ID badge, 3/4 view portrait, hospital corridor softly blurred, soft natural lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053180
1,doctor_002.png,,,"ultra-photorealistic, 35mm portrait lens look, mid 30s, female, Middle Eastern, short neat hair, wearing a white lab coat with reading glasses, 3/4 view portrait, medical office with bookshelves softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053181
2,doctor_003.png,,,"ultra-photorealistic, 8k photo, late 30s, non-binary, Southeast Asian, tied back hair, wearing a surgical scrubs with ID badge, head and shoulders portrait, hospital corridor softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053182
3,doctor_004.png,,,"professional headshot, 8k photo, mid 40s non-binary, Latino doctor, short neat hair, surgical scrubs, face mask hanging, professional headshot, hospital corridor softly blurred, warm clinical lighting. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053183
4,doctor_005.png,,,"ultra-photorealistic, high detail, photorealistic, late 30s, male, Black, shoulder-length hair, wearing a surgical scrubs with reading glasses, head and shoulders portrait, clinic reception softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053184
5,doctor_006.png,,,"professional headshot, 35mm portrait lens look, mid 30s, male, Mixed race, short neat hair, wearing a surgical scrubs with white lab coat, slight smile, professional, clinic reception softly blurred, studio lighting with softbox. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053185
6,doctor_007.png,,,"realistic photo, 8k photo, late 30s, non-binary, South Asian, shoulder-length hair, wearing a surgical scrubs with stethoscope, slight smile, professional, professional studio backdrop, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053186
7,doctor_008.png,,,"realistic photo, high detail, photorealistic, mid 40s male, South Asian doctor, short curly hair, surgical scrubs, white lab coat, professional headshot, medical office with bookshelves softly blurred, studio lighting with softbox. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053187
8,doctor_009.png,,,"professional headshot, high detail, photorealistic, late 20s, non-binary, Middle Eastern, shoulder-length hair, wearing a white lab coat with white lab coat, slight smile, professional, hospital corridor softly blurred, soft natural lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053188
9,doctor_010.png,,,"realistic photo, high detail, photorealistic, early 30s female, White doctor, bald, white lab coat, ID badge, professional headshot, medical office with bookshelves softly blurred, studio lighting with softbox. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053189
10,doctor_011.png,,,"professional headshot, 8k photo, early 30s, female, Southeast Asian, short curly hair, wearing a surgical scrubs with face mask hanging, slight smile, professional, medical office with bookshelves softly blurred, studio lighting with softbox. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053190
11,doctor_012.png,,,"ultra-photorealistic, 35mm portrait lens look, mid 40s female, Southeast Asian doctor, tied back hair, white lab coat, face mask hanging, professional headshot, hospital corridor softly blurred, studio lighting with softbox. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053191
12,doctor_013.png,,,"professional headshot, 35mm portrait lens look, late 30s, female, Black, tied back hair, wearing a white lab coat with surgical scrubs, head and shoulders portrait, professional studio backdrop, studio lighting with softbox. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053192
13,doctor_014.png,,,"professional headshot, 35mm portrait lens look, early 30s, non-binary, Black, bald, wearing a surgical scrubs with reading glasses, 3/4 view portrait, professional studio backdrop, studio lighting with softbox. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053193
14,doctor_015.png,,,"professional headshot, 35mm portrait lens look, late 30s, non-binary, Middle Eastern, bald, wearing a surgical scrubs with white lab coat, slight smile, professional, hospital corridor softly blurred, studio lighting with softbox. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053194
15,doctor_016.png,,,"professional headshot, 8k photo, early 30s female, Mixed race doctor, tied back hair, surgical scrubs, stethoscope, professional headshot, medical office with bookshelves softly blurred, studio lighting with softbox. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053195
16,doctor_017.png,,,"ultra-photorealistic, 8k photo, late 20s, male, White, tied back hair, wearing a surgical scrubs with white lab coat, 3/4 view portrait, clinic reception softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053196
17,doctor_018.png,,,"ultra-photorealistic, 35mm portrait lens look, early 30s, female, East Asian, short neat hair, wearing a surgical scrubs with white lab coat, head and shoulders portrait, hospital corridor softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053197
18,doctor_019.png,,,"professional headshot, 35mm portrait lens look, mid 30s female, Southeast Asian doctor, short curly hair, white lab coat, face mask hanging, professional headshot, medical office with bookshelves softly blurred, soft natural lighting. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053198
19,doctor_020.png,,,"professional headshot, 35mm portrait lens look, mid 30s, non-binary, Mixed race, bald, wearing a white lab coat with white lab coat, head and shoulders portrait, medical office with bookshelves softly blurred, warm clinical lighting. No logos, no text. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053199
20,doctor_021.png,,,"realistic photo, 8k photo, mid 40s male, Black doctor, bald, white lab coat, white lab coat, professional headshot, hospital corridor softly blurred, soft natural lighting. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053200
21,doctor_022.png,,,"realistic photo, 8k photo, mid 40s non-binary, White doctor, bald, surgical scrubs, surgical scrubs, professional headshot, professional studio backdrop, studio lighting with softbox. --negative: cartoon, drawing, low-res, watermark, blurry, deformed, text, logo",openai_FAILED,687053201
